"surface","pilot_priority","web_routes","api_contracts","primary_models","permissions","entitlement","dependencies","maturity","evidence"
"Inicio","INMEDIATO","/app","GET /api/v1/organizations; dashboard queries","Organization; Membership; OrganizationModule","AccessTokenGuard + active organization context","FREE baseline / CORE","organization-baseline-reference-data; solution-entry-reference-sync","PILOT_READY","apps/web/app/app/page.tsx; main QG 35785935020"
"Evaluación SST","INMEDIATO","/app/evaluation; /app/evaluation/[id]","/api/v1/sst-assessment/*","SstAssessmentSession; JSON facts/latestResult; SstAssessmentResult contract","public session for entry; AccessTokenGuard + OrganizationGuard for authenticated flow","baseline assessment access","packages/contracts; adaptive configuration; capability engine 1.2.0","PILOT_READY","apps/api/src/sst-assessment; apps/web/e2e/guided-sst-assessment-flow.spec.ts"
"Plan operativo","INMEDIATO","/app/plans; /app/plans/new; /app/plans/[id]","/api/v1/operational-plans/*","OperationalPlan; OperationalPlanVersion; OperationalPlanItem; OperationalPlanItemExecution","AccessTokenGuard + OrganizationGuard; owner/admin/manager/technician/consultant writes; owner/admin/manager activate","CORE + assessment context","operational-plan contracts; work queue","PILOT_READY","apps/api/src/operational-plans; apps/web/e2e/assessment-operational-plan.spec.ts"
"Inspecciones","INMEDIATO","/app/inspections; /app/inspections/new; /app/inspections/[id]; /app/inspections/alerts; /app/inspections/analytics","/api/v1/inspections/*; /api/v1/inspection-bases/*; /api/v1/inspection-standards/*; /api/v1/inspection-resources/*","Inspection; InspectionCriterionResult; InspectionFinding; InspectionAlert; InspectionStandard*; InspectionBasis*; InspectionResource*","AccessTokenGuard + OrganizationGuard + EntitlementGuard; owner/admin/manager/technician/consultant writes; owner/admin/manager verification","module.inspections","inspection-standard-reference-data; inspection-resource-reference-data; risk methodology","PILOT_READY","apps/api/src/inspections; apps/web/e2e/inspection*; QG integration and E2E"
"EPP","INMEDIATO","/app/ppe; /app/ppe/catalog; /app/ppe/positions; /app/ppe/people","/api/v1/ppe/*; /api/v1/workers/*","PpeCatalogItem; PpeIssue; PpeInspection; Worker; Position; PositionPpeRequirement","AccessTokenGuard + OrganizationGuard + EntitlementGuard; owner/admin/manager/technician/consultant writes; owner/admin/manager review","module.ppe","catalog reference sync; workers and positions","PILOT_READY","PR53 E2E/audit evidence; apps/api/src/ppe; apps/web/app/app/ppe"
"Centros de trabajo","APOYO","/app/settings/organization; /app/setup/new-company; /app/setup/claim","/api/v1/organizations/*","Organization; WorkCenter; Membership","AccessTokenGuard; OrganizationGuard for scoped mutations; organization membership","FREE baseline / CORE","organization baseline release sync","SUPPORT_READY","apps/api/src/organizations; apps/web/app/app/setup"
"Cargos y personas","APOYO","/app/workers; /app/ppe/positions; /app/ppe/positions/[positionId]; /app/workers/[workerId]","/api/v1/workers/*; /api/v1/ppe/position-requirements/*","Worker; Position; PositionRiskContext; PositionPpeRequirement","AccessTokenGuard + OrganizationGuard; owner/admin/manager administration; module.ppe for PPE requirements","module.ppe only for PPE paths","worker/position services; deterministic candidates","SUPPORT_READY","apps/api/src/workers; apps/web/app/app/workers"
"Riesgo técnico","APOYO","/app/technical-risk; /app/technical-risk/new; /app/technical-risk/[id]; /app/technical-risk/[id]/review","/api/v1/technical-risk/*","TechnicalAssessment; TechnicalAssessmentResponse; TechnicalAssessmentResult; TechnicalAssessmentEvidence; TechnicalAssessmentReview; TechnicalAssessmentRiskValuation","AccessTokenGuard + OrganizationGuard + EntitlementGuard; owner/admin/manager/technician/consultant writes; owner/admin/manager review","module.technical_risk","risk methodology reference","SUPPORT_READY","apps/api/src/technical-risk; apps/web/app/app/technical-risk"
"Acciones y hallazgos","APOYO","/app/plans/[id]; /app/inspections/[id]/findings/new; /app/incidents/[incidentId]","/api/v1/operational-plans/*; /api/v1/inspections/*; /api/v1/incidents/*","OperationalPlanItem; InspectionFinding; Incident; IncidentAction","AccessTokenGuard + OrganizationGuard; module guards by source module","module.inspections and module.incidents as applicable","plan and inspection context","SUPPORT_READY","controllers for plan/inspection/incident writes"
"Evidencias","APOYO","/app/evidence-packages","/api/v1/evidence-packages/*","EvidencePackage; EvidencePackageItem; provenance JSON","AccessTokenGuard + OrganizationGuard; owner/admin/manager/technician/consultant writes","reference module entitlement","inspection, plan and risk references","SUPPORT_READY","apps/api/src/evidence-packages; apps/web/app/app/evidence-packages"
"Cola de trabajo","APOYO","/app/work; /app/work/obligations/new; /app/work/obligations/[obligationId]","/api/v1/work-queue/*; /api/v1/operational-execution/obligations/*","ObligationExecution; ObligationExecutionEvidence; queue projections","AccessTokenGuard + OrganizationGuard","baseline organization context","operational plan; inspection alerts; obligations","SUPPORT_READY","apps/api/src/work-queue; apps/web/app/app/work"
"Equipo y acceso","APOYO","/app/settings/members; /app/settings/organization; /app/setup/claim","/api/v1/organizations/*; /api/v1/organization-invitations/*","Membership; OrganizationInvitation; Organization","AccessTokenGuard; membership and role guards","FREE baseline / CORE","auth; organization membership","SUPPORT_READY","apps/api/src/organizations; apps/web/app/app/settings"
"Incidentes","SECUNDARIO","/app/incidents; /app/incidents/[incidentId]","/api/v1/incidents/*","Incident; IncidentPerson; IncidentEvidence; IncidentAction","AccessTokenGuard + OrganizationGuard + EntitlementGuard; owner/admin/manager/technician/consultant writes; owner/admin/manager review","module.incidents","catalog/reference sync","SECONDARY_AVAILABLE","apps/api/src/incidents; navigation feature key module.incidents"
"Capacitación","SECUNDARIO","/app/training; /app/training/sessions/[sessionId]","/api/v1/training/*","TrainingDefinition; TrainingNeed; TrainingAudience; TrainingSession; TrainingParticipant","AccessTokenGuard + OrganizationGuard + EntitlementGuard; write and review role guards","module.training","catalog/reference sync","SECONDARY_AVAILABLE","apps/api/src/training; navigation feature key module.training"
"Permisos de trabajo","SECUNDARIO","/app/work-permits; /app/work-permits/new; /app/work-permits/[permitId]","/api/v1/work-permits/*","WorkPermit; approval/evidence JSON fields","AccessTokenGuard + OrganizationGuard + EntitlementGuard; owner/admin/manager/technician/consultant writes","module.work_permits","catalog/reference sync","SECONDARY_AVAILABLE","apps/api/src/work-permits; navigation feature key module.work_permits"
"Biblioteca normativa","REVISIÓN","/app/applicability; /app/applicability/sources; /app/applicability/requirements; /app/applicability/unified","/api/v1/regulatory-sources/*; /api/v1/applicability/*; /api/v1/regulatory-content/*","RegulatorySource; RegulatoryVersion; RegulatoryUnit; RegulatoryRequirement; RegulatoryRuleDraft","AccessTokenGuard + OrganizationGuard; review actions owner/admin/manager","review-only; no published real rules","regulatory corpus; pilot manifest","REVIEW_ONLY","regulatory/corpus; regulatory/pilots; regulatory-review validators"
"Metodologías de riesgo","REVISIÓN","/app/risk-methods","/api/v1/risk-methods/*","RiskMethodDefinition; RiskMethodVersion; RiskMethodSourceLink; RiskMethodExpertGuidanceVersion; RiskMethodRegulatoryContext","AccessTokenGuard + OrganizationGuard + EntitlementGuard","module.inspections","risk methodology reference sync","REVIEW_READY","apps/api/src/risk-methodology; QG reference sync"
"SISAT","SIGUIENTE","sin ruta SISAT dedicada","sin controlador SISAT dedicado","no hay modelo operativo SISAT dedicado","no hay guardas específicas SISAT","no aplica","PDF local + referencia EC_MSP_00004_2026_SISAT","NEXT_SCOPE","sisat-psychosocial-scope.md; fuente runtime OFFICIAL_REFERENCE_ONLY"
"Psicosocial","SIGUIENTE","sin ruta psicosocial dedicada; evaluación general puede conservar hechos no clínicos","sin contrato psicosocial dedicado","ModuleKey.PSYCHOSOCIAL existe como referencia; no prueba flujo clínico","sin autorización clínica; separación de datos obligatoria","no activar por diseño","fuente técnica psicosocial pendiente; SISAT boundary","NEXT_SCOPE","regulatory/pilots requirements PSYCHOSOCIAL_PROGRAM; no publicado"
